Game Title,Set Title,Year,Format,Moby ID,BoardGameGeek ID,IGDB ID,Designer(s),Publisher,Description,Mechanics,Facilitator Present,Facilitator participates in game?,Players Min,Players Max,Smells Min,Smells Max,Smells,Example Smells,Smell Specificity (Swappability),Specificity Note,Smell Count Flexibility,Flexibility Note,Cost,Currency,Target Audience,Descriptive Source,citationKey,Tags,Variant,URLs,Target Species,Realized or Description?,Complexity_1_Light,Complexity_2_MediumLight,Complexity_3_Medium,Complexity_4_MediumHeavy,Complexity_5_Heavy,Images,Notes
Sniff game,,1983,Analog,,,,"Evelyn Moats Munger, Susan Jane Bowdon",,"This smell game is designed for toddlers and uses familiar food items like lemon, mustard, onion, cinnamon, chocolate, and peanut butter placed in baby-food jars. The child is encouraged to smell each item, talk about the scents, and make associations with foods they recognize (no blindfold required).",Identifying,Parent,TRUE,2,,6,6,"lemon, mustard, onion, cinnamon, chocolate, peanut butter",,Low,Needs to be foods.,Fully Flexible,,,,Baby,Munger & Bowdon 1983,munger_childplay_1983,"Educational game, Informal game",,"childplayactivit0000mung : Munger, Evelyn Moats, 1946- : Free Download, Borrow, and Streaming : Internet Archive",Human,,,,,,,,"It's time for a game which is a natural and aromatic part of learning - a smell game. This quarter's toddler will be interested in a game that may start in the kitchen and uses food and spices that are probably part of his diet. Baby-food jars are ideal containers to hold the following: a slice of lemon, a spoonful of mustard, a sliver of onion, a cinnamon stick, some chocolate drops or powder, and some peanut butter. There's no reason to blindfold him at this point. Just let him sniff and talk about the smells and the foods he asssociates with them."
Sniff out the Truffles! (from Chocolate Seductions),Chocolate Seductions,2017,Analog,,,,,Khepher Games,"In ""Sniff out the Truffles!,"" one partner is blindfolded while the other paints three spots on their body with chocolate. The blindfolded partner must use their nose to sniff out the chocolate ""truffles."" Once they locate a chocolate spot, they lick it off. To add a playful challenge, the blindfolded partner can be taunted or teased when they are close to finding a truffle, enhancing the intimate and sensory experience.","Localizing, Eating, Arousing",Partner,FALSE,2,2,1,1,chocolate,,High,Game depends on the recognizable scent of chocolate and needs to be edible,Expandable Only,,,,18+,Chocolate Seductions,,Commercially available,,https://khepergames.com/product/chocolate-seductions/,Human,,,,,,,ChocolateSeductions_2017,
Sniffer,,2023,Analog,,,,,,"In ""Sniffer,"" players test their sense of smell by identifying scents from small bottles. The game is available in two variants, one with 14 scents and another with 24 scents. Each round, players roll a dice to determine how they interact with the bottles. Depending on the number rolled, they may have to smell and guess the contents of one or more bottles, take a bottle from an opponent, or even pass their turn. The goal is to correctly identify the most bottles, with the winner being titled ""The Nose.""","Identifying, Transacting",None,,2,6,14,24,"peach, apple, butter, cinnamon, raspberry, dark chocolate, vanilla, banana, orange, leather, honey, strawberry, lime, clove",,None,,Fully Flexible,,95,EUR,,,,"Commercially available, Smell Training",,https://www.smartasaker.com/en/scented-game-sniffer,Human,,,,,,,Sniffer_2023,
Sommelier Wine Aroma Kit,,2005,Analog,,,,Aromaster,,"Sommelier Wine Aroma Kit is a wine education tool. The kit includes 88 common wine aromas, allowing players to identify and associate scents with grape varieties, winemaking techniques, and wine maturation stages. With a comprehensive manual, aroma wheel, and interactive board game, this kit provides a structured approach to learning wine scents. (We do not have information on the board game itself.)","Identifying, Judging, Memorizing, Discriminating, Mapping",None,,1,,88,88,"lemon, lime, grapefruit, gooseberry, pear, apple, green apple, peach, melon, guava, pineapple, passion fruit, lychee, dry apricot, orange peel, banana, raspberry, blackcurrant, strawberry, blackberry, cherry, plum, prune, honeysuckle, hawthorn, orange blossom, linden, jasmine, acacia, rose, lavender, violet, capsicum, fennel, tomato, cut grass, dill, thyme, fern, mint, hay, black tea, tobacco, blackcurrant leaf, bay leaf, eucalyptus, iodine, flint, kerosene, bread, butter, caramel, chocolate, toast, coffee, bacon, smoke, tar, vanilla, pepper, cinnamon, liquorice, nutmeg, clove, coconut, hazelnut, almond, oak, sandalwood, cedar, pine, quince jelly, honey, soy sauce, leather, gravy, mushroom, truffle, tree moss, corked, sherry, madeira, vinegar, nail polish remover, rubber, onion, sweet corn, horse sweat",,Medium,Needs to be wine-related scents.,Fully Flexible,,399,USD,18+,,,"Commercially available, Educational",,https://www.amazon.com/Master-Wine-Aroma-Tasting-Kit/dp/B00OZ56O2Y/ref=asc_df_B00OZ56O2Y/,Human,,,,,,,,
Sound performance with smells,,2017,Mixed,,,,Stefano Zucchini,,"A performance was held in complete darkness, combining abstract sounds with the sequential distribution of five different scents. As the auditory elements unfolded, the scents were passed.",Experiencing,Performer,FALSE,1,,5,5,,,,,,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
South Park: The Fractured But Whole (Nosulus Edition),,2017,Digital,97194,,11161,"Trey Parker, Christopher Brion, Jason V. Schroeder, Kenneth Strickland",,"In this irreverent RPG set in the South Park universe, flatulence is both a weapon and a mode of movement. Players control a customizable superhero whose powers are driven by fart-based abilities used for attacking enemies, solving puzzles, and traversing terrain. A limited-run peripheral, the Nosulus Rift, was created to enhance immersion by releasing a specially formulated fart odor each time the player triggered these abilities. The device, worn over the nose like a VR headset, delivered a burst of scent in sync with on-screen actions. Though never sold commercially, it added a literal dimension to the game's toilet humor.","Emanating, Damaging, Reflexing",None,,1,1,1,1,fart,,Exact,Farts are integral to gameplay and the promotional aspect.,Expandable Only,Could be expanded with nuance.,,,,,,"Commercially available, Promotional",,"https://www.polygon.com/2016/8/19/12550744/south-park-fractured-but-whole-nosulus-rift, https://www.tomshardware.com/news/nosulus-rift-gamesom-south-park,32552.html#:~:text=The%20Nosulus%20Rift%20is%20real,for%20less%20truth%20in%20advertising.&text=When%20I%20first%20heard%20about,emits%20the%20odor%20of%20flatulence%3F",Human,,,,,,,,
Sperm facial lotion,,2017,Analog,,,,Abel Fazekas,,A face lotion was created using a self-extracted scent (from the artist's own semen) intended to provoke discomfort or avoidance. The formulation challenged participants' willingness to engage with the olfactory aspect of a typically cosmetic product.,"Arousing, Repelling",None,,1,,1,1,semen,,,,,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
Spice chess,,1977,Analog,,,,Takako Saito,,"All the chess pieces look the same, so to tell them apart you have to smell them. Inside each piece is a different spice, each with a very distinct smell: light pawns smell of cinnamon, dark bishops smell of cumin, and light knights smell of ginger.","Memorizing, Identifying",None,,2,2,12,12,,"cinnamon, nutmeg, ginger, anise, cumin, asafoetida, cayenne pepper",,,,,,,,Saito 1977,,"Art, Game variant",Chess,,Human,,,,,,,SpiceChess_1965,
Spice Navigator,,1999,Analog,,2697,,"Véronique Debroise, Victor Lucas",SentoSphère,"In this game, players take on the role of captains of European merchant ships trading spices from Africa and Asia. The board represents an old map divided into four trading regions, each specializing in a different spice. Players control market prices through card play, but can also guess spices by smell to gain an expert price using real spice containers. The game combines commodity speculation with resource management, and event cards add randomness, while pirates threaten to disrupt players' plans.",Identifying,None,,2,5,16,16,"cumin, star anise, citronella, coconut, coffee beans, vanilla, nutmeg, coriander, ginger, oregano, cardamom, clove, cinnamon, curry, pepper, tea",,High,Each spice scent corresponds to a specific region and is crucial for gameplay bonuses.,Fully Flexible,,45,EUR,7+ years,Sentosphère,,Commercially available,,https://boardgamegeek.com/boardgameversion/143564/french-edition-2009,Human,,3,1,0,0,0,Take picture,
Spice trading game,,2017,Analog,,,,Tudor Ulrich,,"A board game inspired by the historical spice trade, where players move their pawns across a hexagonal board toward small incenses made from various spices. Players collect and exchange spices through negotiation, and the winner is the one who gathers the most.","Transacting, Collecting",None,,2,,,,,,,,,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
Spider Scent Game,,2014,Digital,,,,Tim Johansson-Hugg,,"In this mobile maze and survival horror game, players must escape a labyrinth while avoiding invisible spider enemies that can only be detected by smell. A connected scent device releases a warning fragrance (rose) to signal an approaching spider. Players must quickly locate and retreat to a safe zone (a room spiders cannot enter) before being attacked.","Signaling, Detecting",None,,1,1,1,1,spider (rose),,Low,Smell needs to be clearly noticeable to warn that a spider is nearby.,Fixed,"It could be extended, but - in this particular game - it feels fairly fixed.",,,,,,"Research, Niedenthal-related, Digital game, Survival horror game, Expeimental game",,Dissertation Simon sent,Human,,,,,,,SpiderScentGame_2014,
Spin the bottle,,2018,Analog,,,,Partyvapours,,"In ""Spin the Bottle"" (food edition), players gather around a table with various tricky or unusual food items placed in a circular arrangement. A bottle is spun in the center, and when it stops, the player must eat the food item the bottle points to. The game involves dares only, meaning that the player has no choice but to gulp down the item, regardless of how challenging it is. The goal is to create an entertaining and suspenseful atmosphere as players take on the food dares one by one.","Eating, Punishing, Randomizing",None,,2,,1,,,,Low,Needs to be unusual/challenging foods or beverages.,Fully Flexible,,,,,,,"Nutrition game, Edible game, Informal game, Party game, Challenge",,https://medium.com/@partyvapours/exciting-food-games-thatll-make-your-party-fun-6382482dec7d,Human,,,,,,,N.A.,"This game resembles the ‘Truth and dare’, the only difference being there are only dares. Basically, a number of tricky food items are placed on a table, in a circular manner and a bottle is spun in the middle. When the bottle stops at a certain food item, the player has to gulp it down."
Spin the Bottle: Try that food!,,2014,Analog,,,,Daily Level Up,,"""Spin the Bottle: Try That Food!"" is a lighthearted tasting game designed to encourage kids to try a variety of foods through playful chance. A bottle is placed in the center of a circle of small food samples. On each turn, a player spins the bottle, and wherever the tip lands, that’s the food they must try. If the bottle lands between two foods, players are given the choice of which to taste.","Eating, Randomizing",None,,2,,,,,"tomatoes, spinach, chicken, banana, almonds, hot dog, jalapenos, cereal, raisins, popcorn, oranges, marinated tofu",Low,Needs to be unusual/challenging foods or beverages.,Fully Flexible,,,,,,,"Nutrition game, Edible game, Informal game, Party game, Challenge",,https://www.youtube.com/watch?v=Fm86gbq42r0,Human,,,,,,,,
Spot the difference but with scent,,2019,Analog,,,,Sakurako Nagano,,"A scent-based comic quiz in which participants read through six comics, each composed of 11 scented pages. Five comics share the same scent progression, while one has a different scent on at least one page. The goal is to use the sense of smell to identify which comic is different from the rest.",Discriminating,None,,1,1,,,,,,,,,,,,Ueda 2020,,"Art, Translating existing game",,,Human,,,,,,,,
Stereo smelling (TROPI-BOS),,2009,Analog,,,,Ivan Henriques,,"This project, ""TROPI-BOS,"" is an olfactory experiment exploring whether humans can smell in stereo. In the installation, participants lean over a box that releases two different scents (one to each nostril) simulating a ""virtual forest"" by creating a multi-directional olfactory experience",Experiencing,None,,1,1,,,,,,,,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
Stereotype pairing,,2009,Analog,,,,Yerry Ydema,,"This is a matching game where players pair stereotypical scents with three different persons by associating each person with a corresponding smell. The three persons are: a teacher (Dutch woman), a French man, and a fisherman. The activity explores how scent reinforces or challenges cultural stereotypes.","Matching, Identifying, Discriminating",None,,1,1,3,,,,High,Scents are intentionally selected to represent culturally stereotypical identities; substitution would reduce the game's interpretive depth.,Expandable Only,,,,,Ueda 2020,,Art,,Interesting subversion of matching,Human,,,,,,,,
Stinky Science Lab,,2021,Analog,,,,,SmartLab Toys,"Using tools like the Smell-U-Lator—a pump-powered scent emitter—and washable sample cups, kids can create and test odors ranging from ""Eau de Feet"" cologne to smelly slime and potpourri. The kit encourages both open-ended scent mixing and guided activities, blending olfactory play with learning about smell and memory, bodily odors, and how noses work.","Composing, Identifying, Transacting, Pranking",Player,TRUE,2,,1,,,,None,,Fully Flexible,,19.99,USD,,,,Commercially available,,https://protinkertoys.com/products/stinky-science-lab-00606-smart-lab,Human,,,,,,,StinkyScienceLab_2021,
Stop and Smell the Roses Game,,2008,Analog,,,,Lawrence Shapiro,,"""Stop and Smell the Roses"" is a sensory exploration game for young children, focusing on associating smells with objects during a walk. Parents guide their baby on a ""smelling walk"" around the house, backyard, park, or zoo, encouraging the child to sniff various safe objects like flowers, rocks, or grass and describing the smells in relatable terms.","Describing, Experiencing",Parent,TRUE,2,,1,,,"roses, rocks, grass, trees, leaves",None,,Fully Flexible,,,,12+ months,Shapiro 2008,shapiro_complete_2008,"Developmental game, Conversational game, Informal game",,https://archive.org/details/completeidiotsgu0000shap/page/192/mode/2up,Human,,,,,,,,pg 195
Subjective scent of the three Redons,,2019,Analog,,,,Takeshi Hayashi,,A perfume composition was created based on the subjective impressions of the scents evoked by three paintings by Odilon Redon.,Experiencing,None,,1,1,3,3,,,,,,,,,,Ueda 2020,,Art,,,Human,,,,,,,,
SUGAR,,2009,Digital,,,,Heather Kelley,,"In ""SUGAR,"" two players take on the roles of performing Lipizzaner stallions at Austria’s historic Spanish Riding School. Gameplay involves interacting with the environment, triggering the ""Action Olofactorizer,"" which releases scents like grass, leather, and horse excrement in response to player actions. The game's focus is on creating an immersive, multi-sensory experience that blends movement with olfactory feedback, set against the backdrop of imperial court excesses. Players work together while the game integrates various artistic and sensory elements into the performance.","Punishing, Rewarding",None,,2,2,3,1,"grass, leather, horse excrement",,High,Each scent directly supports the realism and historical context of the performance setting.,Expandable Only,"More scents could be added to deepen immersion, but the existing scents are thematically fixed and necessary for coherence.",,,,Kelley 2009,,"Art, Experimental game",,https://www.perfectplum.com/portfolio_category/sense/,Human,,,,,,,SUGAR_2009,
Super Perfume Making Kit,,2016,Analog,,,,,Science4You,"The ""Super Perfume Making Kit"" lets kids explore how different fruit essences and fresh fragrances combine to form personalized scents. Through 13 guided experiments, children learn to mix, layer, and compare aromas, observing how scent profiles shift with different combinations. The process emphasizes hands-on engagement with smell.","Composing, Discriminating",None,,1,1,1,,,,None,,Fully Flexible,,33.24,USD,8+,,,"Commercially available, Educational",,https://www.amazon.com/dp/B00HAOC9HQ,Human,,,,,,,SuperPerfumeMakingKit_2016,
Sweet Candy Perfume Lab,,2021,Analog,,,,Thames & Kosmos,,"Children explore fragrance creation by extracting concentrated scents from six candy-themed paper strips (cotton candy, lemon, cinnamon, peppermint, vanilla, and chocolate) and mixing them into custom perfumes. Using tools like syringes, measuring cups, and filter cotton, kids learn how to dilute and combine fragrances into pleasant scent profiles.","Composing, Capturing, Eating",None,,1,1,,,,,,,,,37.2,USD,,,,"Commercially available, Educational",,,Human,,,,,,,,
Tainted,,2019,Digital,,,,"Nimesha Ranasinghe, Koon Chuan Raymond Koh, Nguyen Thi Ngoc Tram, Yan Liangkun, Kala Shamaiah, Siew Geuk Choo, David Tolley, Shienny Karwita, Barry Chew, Daniel Chua, Ellen Yi-Luen Do",,"In ""Tainted,"" players navigate a first-person horror adventure rooted in Southeast Asian folklore. Players embody an amnesiac character stranded in a haunted banana plantation, where they must avoid a ghostly figure, the Pontianak, while uncovering clues about their past. Scents play a crucial role, with specific smells (banana, jasmine, pineapple, and mango) indicating key objects or imminent danger. For instance, the scent of banana signals the Pontianak's approach, creating tension and guiding the player. The goal is to evade the spirit, collect all essential items, and either burn the haunted banana tree or face the spirit’s wrath.","Navigating, Identifying",None,,1,1,4,4,"flashlight (jasmine), flammables (pineapple), mementos (mango), Pontianak (banana)",,Low,"Smells seem to have been selected to be distinguishable, but don't seem to be tied to the object or interaction it represents.",Fixed,,,,,Ranasinghe et al. 2019,,Research,,https://doi.org/10.1016/j.ijhcs.2018.11.011,Human,,,,,,,Tainted_2019,
Taste Bud is Blind,,2019,Analog,,,,Jenn Sandercock,,"In this playful food game, players take turns becoming the blindfolded ""Taste Bud"" who samples concoctions made by others using a shared pool of up to six agreed-upon ingredients. Each player creates their own mix to serve to the Taste Bud, who then ranks them according to personal taste. Scores are calculated by multiplying the number of ingredients used by the rank awarded. Players must balance risk and creativity: more ingredients can yield more points, but only if the Taste Bud enjoys the result. The game rotates until everyone has a turn being the taster.","Eating, Judging, Composing",Host,TRUE,4,6,6,,,,Low,Needs to be a variety of edible ingredients.,Fully Flexible,,,,5+,,,,,Edible Games,Human,,,,,,,TasteBudIsBlind_2019,
Taste-enhanced Minesweeper,,2018,Digital,,,,"Chi Thanh Vi, Daniel Arthur, Marianna Obrist",,"Taste-enhanced Minesweeper is a modified version of the classic Minesweeper game that uses taste stimuli (sweet, sour, and bitter) during gameplay. When players begin the game, they receive a sour taste to create an ""explosive"" start. If they uncover a mine, they receive a bitter punishment. If they clear a large safe area (≥10 cells), they are rewarded with a sweet taste. Near the end of the countdown timer, another sour taste warns the player that time is running out. Winning the game results in another sweet taste, while losing due to running out of time results in another bitter one.","Eating, Punishing, Rewarding, Signaling",None,,1,1,,,,,,,,,,,,,,Research,,https://dl.acm.org/doi/abs/10.1145/3279954.3279955,Human,,,,,,,,
Tasting Game (sense game),,1907,Analog,,,,"Susan E. Blow, Emily Poulsson",,"The child is asked to identify flowers by their fragrance, covering their eyes to focus on olfactory cues.",Identifying,Parent,TRUE,2,,1,,,,Low,Needs to be flowers,Fully Flexible,,,,young children,Sharp 1907,sharp_suggestions_1907,"Educational game, Informal game",,https://www.google.com/books/edition/American_Motherhood/hSLVAAAAMAAJ?hl=en&gbpv=1&dq=smell+game+-hunting&pg=PA305&printsec=frontcover,Human,,,,,,,N.A.,"Recite a poem to instruct a child to smell and identify a flower, fruit, or vegetable while their eyes are closed."
Test Your Aroma IQ,,2016,Analog,,,,Stacy Robbins,,"""Test Your Aroma IQ"" is a scent-identification icebreaker game using essential oils. To set it up, one drop of an essential oil is placed on a cotton ball, which is then sealed inside a numbered cup. Guests smell each cup and record their guesses about which oil is inside. At the end of the activity, the host reviews the correct answers and discusses each oil's aroma, benefits, and value. The guest with the most correct identifications wins a prize.","Identifying, Labeling",Host,FALSE,3,,1,,,"lemon, oregano, basil",None,,Fully Flexible,,,,,,,,,http://sews2reap.blogspot.com/2016/10/essential-oil-class-or-party-set-up-in.html,Human,,,,,,,TestYourAromaIQ_2016,
The Arconiax Assignment,,1984,Mixed,181181,,,Eric Tilenius,The Rainbow Magazine,"In this interactive mystery adventure, your role as an international police recruit takes a sudden turn when you're assigned to recover the stolen Arconiax Diamond. Though your mission begins in a mundane office setting, you're soon sent undercover to infiltrate a criminal hideout. At key moments, the game prompts you with a command like ""SCRATCH #n"", instructing you to smell a specific box on the card. You must then identify the scent and input commands like GET BANANA or EAT BANANA, based solely on your sense of smell. Until you correctly identify the item by scent, it remains unrecognized by the game’s text parser.",Identifying,None,,1,1,6,6,"chocolate, gum, pickles, peppermint, pine, mothballs",,Exact,Each scent is mapped to an object that must be correctly named to progress.,Fixed,The game is designed around a preset number of specific scents tied to exact interactions.,,,,,,Commercially available,,"https://www.mobygames.com/game/181181/the-arconiax-assignment/releases/, https://solutionarchive.com/file/id%2C12522/",Human,,,,,,,,
The Cookie Baking Game,,2013,Analog,,,,Jenn Sandercock,,"In ""The Cookie Baking Game,"" players gather in a kitchen to bake cookies by competing in several rounds. Each round affects the ingredients and flavors they can add to their batter. The game starts with a blind taste test where players identify flavors in sample cookies. In the second round, players race to prepare their basic batter, with the fastest player getting the first choice of flavors. The third round, Lemon Joust Club, allows players to win chunks for their cookies. In the fourth round, players guess the weight of a bowl filled with flour, with the winner getting to bake their cookies first. While the cookies bake, a trivia round about food and baking takes place. The player with the least wrapped lollies (prizes collected throughout the game) has to clean up after everyone.","Eating, Identifying, Composing",None,,2,6,3,,,,Low,The game uses identifiable flavors but doesn’t rely on extremely specific scents; cookie flavors are flexible and common.,Expandable Only,"Flavors can be added or substituted to suit taste or availability, making the smell components adaptable to different play settings",,,,,,"Cooking game, Party game, Trivia game",,http://web.archive.org/web/20130919172135/http://jennsand.com/gameplayMechanicAMonth/mechanic_03.php,Human,,,,,,,CookieBakingGame_2013,
The Kingdom of Taste,,2020,Analog,,,,"Sigrid Skouw, Anja Suldrup, Annemarie Olsen",,"Up to five players journey across a game board to help a forgetful chef collect ingredients for a royal dinner party. Players roll dice and land on tasks that fall into three zones: descriptive tasks (e.g., describing appearance, flavor, and associations), tasting tasks (sampling unknown fruits or vegetables hidden in lidded cups), and creativity tasks (e.g., imagining meals or discussing preparation methods). Points are collected via ""food cards"" when tasks are completed. After tasting a mystery food sample, the player must: (1) guess the food's identity; (2) if correct, they get a food card; and (3) if wrong, they must taste it again.","Eating, Identifying, Labeling, Punishing",None,,2,5,5,,,"apple, carrot, fennel, water chestnut, Jerusalem artichoke, green olives, banana, tomato, passion fruit, enoki mushrooms, onion sprouts, nashi pear, cucumber, pear, dried goji berries, bamboo shoots, turmeric root, cherimoya",Low,Needs to be foods.,Fully Flexible,Any food can be substituted based on availability or dietary needs.,,,,,,"Research, Dietary Education",,http://dx.doi.org/10.3390/nu12051415,Human,,,,,,,KingdomOfTaste_2020,
The Lost Foxfire,,2019,Digital,,,,"Dominic Chai, Yeo Jing Ying, Sim Yong Jie, Roland Kie, Pravar Jain, Yan Liangkun, Allan Lee, Chuah Chong Yunn, Lin Yibin, Nicole Lim, Daniel Low, Marcus Lin, Leong Wei Kiat",,"In ""The Lost Foxfire,"" a multi-sensory Virtual Reality (VR) game, players take on the role of a caretaker tasked with preventing a Foxfire spirit from burning down an old Japanese temple. As the spirit wanders the temple, it sets fire to everything it touches. Players must put out these fires and track down the real Foxfire spirit among its decoys. To enhance the immersive experience, the game uses a multisensory bodysuit that delivers thermal, wind, and olfactory stimuli. Players can feel the heat emitted by the Foxfire spirit as they approach it and smell apples when they successfully spray the spirit with a fire extinguisher.","Rewarding, Experiencing",None,,1,1,2,2,fire extinguishing (apple),,None,Tie between object and scent feedback is loose.,Fixed,,,,,Guan et al. 2019,,"Research, Art",,"https://cutecenter.nus.edu.sg/projects/lost-foxfire.html#:~:text=The%20Lost%20Foxfire%20is%20a,immersive%20gameplay%20for%20the%20players.",Human,,,,,,,LostFoxFire_2019,
The Magic Trick,,2024,Analog,,,,Sassafras Patterdale,American Kennel Club,"A treat-hiding game where dogs use their sense of smell to find which cup contains a hidden treat. As more cups are added and shuffled, the dog must rely on olfaction rather than memory to succeed.","Identifying, Rewarding, Detecting",Dog handler,FALSE,1,1,1,1,treat,,Low,Needs to be food safe for a dog and edible.,Fixed,"For clarity, only one scent is used.",,,,,,,,https://www.akc.org/expert-advice/training/indoor-scent-games-for-dogs/,Dog,,,,,,,,
The Name Game (from Scents Sort Match-Up),Scents Sort Match-Up,2008,Analog,,,,,Roylco,Players smell different scents and try to identify or name each one. This game helps develop scent recognition and memory skills.,Identifying,None,,1,,30,30,"apple, pear, peach, papaya, mango, rose, tulip, carnation, grass, banana, honey, kiwi, tea, licorice, cucumber, peppermint, nutmeg, spearmint, cinnamon, maple syrup, lemon, pineapple, orange, cantaloupe, grapefruit, raspberry, strawberry, blueberry, grape, watermelon",,None,,Fully Flexible,,,,3+ years,Roylco 2008,,"Commercially available, Educational game, Conversational game",,https://web.archive.org/web/20240222085146/https://roylco.com/shop/r62301-scents-sort-match-up-kit/,Human,,,,,,,ScentsSortMatchUp_2008,https://roylco.com/wp-content/uploads/2017/05/62301-Scents-Sort-Match-Up-Kit-Guide-CA0501-156.pdf
The Order of the Oven Mitt,,2016,Analog,,,,Jenn Sandercock,,"Players (Squires) move across an edible 5×5 gingerbread grid using knight-style chess moves, attempting to land on Sacred Squares (darker cookies with elaborate toppings). Upon landing, they must perform a silly ritual with teammates (chanting, posing, hopping) before consuming the treat. Afterward, players push rows or columns of cookies, shifting the board and continuing play from their new position. Play ends when all Sacred Squares have been consumed. Players can collaborate or compete, but cooperation makes initiation faster. Success depends not just on strategy, but stomach capacity: Squires who become too full are disqualified from knighthood.","Eating, Rewarding, Collecting",Host,TRUE,2,6,1,,gingerbread,,Low,Needs to be food.,Fully Flexible,,,,5+,,,,,"Edible Games, https://v3.globalgamejam.org/2016/games/order-oven-mitt",Human,,,,,,,,
The Perfumer,,2016,Analog,,204576,,Chu-Lan Kao,Big Fun Games,"Acting as perfumers, players travel the world collecting aromatic ingredients to fulfill custom perfume orders and uncover a secret recipe by sniffing and matching specific scents. Success depends not just on strategy but on olfactory skill: players must accurately distinguish and remember fragrance notes to win. ","Identifying, Composing, Discriminating",None,,2,5,,,,,,,,,,,12+ years,,,Commercially available,,https://boardgamegeek.com/boardgame/204576/the-perfumer,Human,,0,3,4,0,0,,
The scent of colour,,2019,Analog,,,,Masatoshi Ohno,,"An experiment explored how color influences scent perception by presenting participants with three differently colored liquids (red, yellow, and green) that all had the exact same smell. Participants were unaware that they all smelled the same.","Misdirecting, Labeling",None,,1,1,1,1,,,,,,,,,,Ueda 2020,,Art,,,Human,,,,,,,,Really like this one
The Smell Game: Talk About Smell,,2025,Analog,,,,Iana Minakova,"Livets museum (Lund, Sweden)","Each of the two players receives five scent bottles containing the same five smells: mold, roasted, leather, strawberry, and mushroom. By pressing the bottles, the scents are puffed out. The goal is to match the corresponding scents between players. However, players can't see which bottle is which; they must describe the smells to each other using only words to figure out the correct pairs.","Labeling, Identifying, Matching",None,,2,2,5,5,"mold, roast, leather, strawberry, mushroom",,,,,,,,,,,"Museum, Educational",,,Human,,,,,,,,
The Yatzi Mod ,,2017,Analog,,,,Rebecca Göttert,,"""The Yatzi Mod"" is a flavor exploration game that modifies the traditional dice game ""Yahtzee"" to focus on food pairing. Players roll two colored dice, each corresponding to a flavor category: neutral, sour, sweet, bitter, salty, or spicy. Based on their dice roll, they must combine and eat two foods from the indicated flavor groups. For example, a player might pair pickles (sour) with Nutella (sweet), or cheese (salty) with raspberry (sour).","Composing, Randomising, Eating",Host,TRUE,2,4,2,,,"pickles, Nutella, cheese, raspberry",Medium,Needs foods that fall under the different taste catagories.,Fully Flexible,,,,,,,"Research, Niedenthal-related",,https://mau.diva-portal.org/smash/record.jsf?pid=diva2%3A1483671,Human,,,,,,,YatziMod_2017,
Things that get lost in the night,,2009,Analog,,,,"John Rice, Suzanne Clothier",,"Similar to ""3-2-1 Find It,"" this game takes place in the dark, encouraging the dog to rely more on scent than sight to locate a hidden object. The game can be played indoors or outdoors in low light.",Localising,Dog handler,FALSE,1,1,1,,,,None,,Fully Flexible,,,,,Rice & Clothier 2009,,"Animal game, Educational game",,"Scent games for dogs, https://www.myherodogtraining.com/wp-content/uploads/2017/07/Scent-Games.pdf",Dog,,,,,,,,
Top Scent,,2015,Analog,,248995,,Véronique Debroise,SentoSphère,"In ""Top Scent,"" a party game by Sentosphère, players put their sense of smell to the test. The game includes 96 colorful fruit cards and 12 aroma diffusers. Players sit in a circle and take turns smelling the same aroma diffuser without revealing their guess to others. A die roll determines how many times players must find the corresponding fruit on their cards. As players take turns placing their cards in the center pile, the first player to spot the matching fruit the required number of times slaps the pile and collects the cards. The winner is the player with the most cards at the end.","Identifying, Memorizing",None,,3,6,12,12,"pineapple, blackcurrant, strawberry, raspberry, lemon, orange, peanut, coconut, apple, banana, melon",,None,,Fully Flexible,,22,EUR,6+ years,Sentosphère,,Commercially available,,https://boardgamegeek.com/boardgame/248995/top-scent,Human,,,,,,,,
Total Blackout (smell),,2011,Analog,,,,Henrik Nielsen,,"In ""Total Blackout,"" contestants participate in sensory-based challenges, including a smell game, while being entirely in the dark. In the smell game, contestants must sniff various items and correctly identify them using only their sense of smell. The items range from common to unusual, often designed to be challenging or off-putting. Contestants rely on their olfactory abilities to progress, with the aim of overcoming their fear and confusion due to the darkness.",Identifying,None,,1,1,1,,,butt,Medium,Smells are chosen to be challenging or provoke strong reactions.,Fully Flexible,,,,,,,"Game show, Challenge game",,https://www.youtube.com/watch?v=Ceaoyg4MWGI,Human,,,,,,,,
Touch and Smell Game,,2002,Digital,,,,Jennifer Hamernik,,"In the ""Touch and Smell"" game, regular household items such as flour, peanut butter, vanilla extract, and feathers are placed in numbered brown bags. Players, with eyes closed, either touch or smell an item and write down what they believe the item is. They are also asked if the smell or touch brings up any memories, like a happy holiday or a bad experience.","Identifying, Associating, Recalling",Player,TRUE,2,,1,,,"flour, peanut butter, vanilla extract, feathers",None,,Fully Flexible,,,,12+ years,Hamernik 2002,,"Research, Educational game, Informal game",,https://sci-hub.se/10.1300/J182v02n02_11,Human,,,,,,,N.A.,
